DATE,MAXIMUM-TEMPERATURE,MINIMUM-TEMPERATURE,WIND-DIRECTION,WIND-SPEED,WIND-RUN,RELATIVE-HUMIDITY,AIR-PRESSURE
Sep-10,31.1,23.3,236,4,,82,1014.3
Oct-10,32.6,24.1,216,5,,75,1013.6
Nov-10,36.3,20.4,183,5,,49,1012.8
Dec-10,35.5,16.7,195,4,,39,1014.2
Jan-11,33.5,17.3,84,6,,25,1014.6
Feb-11,38.8,23.4,100,4,,29,1012.8
Mar-11,40.6,26.3,176,8,,22,1012.2
Apr-11,40.5,27.6,193,6,,36,1010.3
May-11,36.9,26.5,161,5,,57,1012.4
Jun-11,34.8,25.1,122,7,,63,1014.0
Jul-11,32.4,24.1,145,5,,69,1014.5
Aug-11,31.4,23.7,120,5,,74,1014.8
Sep-11,30.7,23.6,133,4,,78,1014.9
Oct-11,34.4,23.5,151,4,,65,1013.4
Nov-11,36.5,18.0,109,4,,33,1013.8
Dec-11,34.5,17.6,86,5,,26,1014.8
,34.6,17.7,94,4,,29,1015.6
   ,38.4,23.1,89,5,,29,1014.3
,39.9,24.8,150,6,,27,1012.5
,40.6,28.5,181,7,,44,1012.3
,35.8,25.7,174,4,,60,1013.7
,32.8,23.7,170,5,,70,1014.7
,30.8,23.1,200,5,,77,1014.1
,30.4,23.2,156,5,,79,1013.8
,31.3,23.2,182,4,,77,1014.2
,33.3,24.1,176,4,,67,1013.6
,37.0,20.5,134,6,,42,1013.6
,35.8,17.7,102,3,,32,1014.6
,36.2,19.8,114,4,,27,1015.5
,39.0,22.0,119,5,,26,1015.1
,41.9,26.9,192,7,,24,1012.8
,40.2,28.9,181,5,,44,1011.5
,35.9,22.8,170,6,,58,1012.5
,34.6,25.7,188,4,,67,1014.1
,31.5,24.4,199,4,,75,1014.8
,30.9,23.8,142,4,,78,1015.1
,31.7,23.6,150,3,,79,1014.3
,34.1,23.7,160,4,,70,1013.9
,37.8,22.3,156,4,,42,1013.8
,36.1,19.0,120,4,,33,1014.8
,36.1,18.9,119,5,,28,1015.5
,37.6,21.8,121,5,,24,1015.1
,39.8,26.4,177,5,,25,1013.0
,39.2,27.9,182,6,,42,1011.6
,35.6,26.2,173,4,,56,1012.5
,33.4,25.1,214,4,,68,1014.2
,31.7,24.4,218,4,,72,1014.9
,30.0,23.6,186,4,,80,1015.1
,31.6,23.7,175,3,,74,1014.3
,34.0,24.2,193,4,,62,1013.9
